"","Year","State","avg_AQI"
"344",1986,"Oregon",39.8461538461538
"345",1986,"Pennsylvania",52.5454545454545
"346",1986,"Puerto Rico",28
"347",1986,"Rhode Island",49.5
"348",1986,"South Carolina",36.8888888888889
"349",1986,"South Dakota",21.6666666666667
"350",1986,"Tennessee",52
"351",1986,"Texas",45.2941176470588
"352",1986,"Utah",59.5
"353",1986,"Vermont",29.75
"354",1986,"Virgin Islands",49
"355",1986,"Virginia",39.9333333333333
"356",1986,"Washington",41.3529411764706
"357",1986,"West Virginia",70.3333333333333
"358",1986,"Wisconsin",41.85
"359",1986,"Wyoming",23.6666666666667
"360",1987,"Alabama",45
"361",1987,"Alaska",30
"362",1987,"Arizona",48.7
"363",1987,"Arkansas",27.6666666666667
"364",1987,"California",53.1428571428571
"365",1987,"Colorado",39.2941176470588
"366",1987,"Connecticut",50.3333333333333
"367",1987,"Delaware",56.6666666666667
"368",1987,"District Of Columbia",62
"369",1987,"Florida",35.5625
"370",1987,"Georgia",37
"371",1987,"Hawaii",25.75
"372",1987,"Idaho",34.6666666666667
"373",1987,"Illinois",45.1428571428571
"374",1987,"Indiana",59.95
"375",1987,"Iowa",32.1
"376",1987,"Kansas",37
"377",1987,"Kentucky",52.25
"378",1987,"Louisiana",43.25
"379",1987,"Maine",42
"380",1987,"Maryland",46.5555555555556
"381",1987,"Massachusetts",52.4
"382",1987,"Michigan",37.0769230769231
"383",1987,"Minnesota",37.2
"384",1987,"Mississippi",37.5
"385",1987,"Missouri",39.75
"386",1987,"Montana",41.2142857142857
"387",1987,"Nebraska",33.6666666666667
"388",1987,"Nevada",40.75
"389",1987,"New Hampshire",48.25
"390",1987,"New Jersey",45.5333333333333
"391",1987,"New Mexico",44.2857142857143
"392",1987,"New York",49.95
"393",1987,"North Carolina",43.9230769230769
"394",1987,"North Dakota",20.5
"395",1987,"Ohio",52
"396",1987,"Oklahoma",37.8333333333333
"397",1987,"Oregon",42.1538461538462
"398",1987,"Pennsylvania",53.7727272727273
"399",1987,"Puerto Rico",21.5
"400",1987,"Rhode Island",47.5
"401",1987,"South Carolina",38.25
"402",1987,"South Dakota",23.75
"403",1987,"Tennessee",46.9285714285714
"404",1987,"Texas",46.5625
"405",1987,"Utah",54.8
"406",1987,"Vermont",33.5
"407",1987,"Virgin Islands",43
"408",1987,"Virginia",41.75
"409",1987,"Washington",42.7058823529412
"410",1987,"West Virginia",72.2222222222222
"411",1987,"Wisconsin",40.55
"412",1987,"Wyoming",31.6666666666667
"413",1988,"Alabama",45.1666666666667
"414",1988,"Alaska",25
"415",1988,"Arizona",45.9
"416",1988,"Arkansas",27.6666666666667
"417",1988,"California",53.66
"418",1988,"Colorado",34.9090909090909
"419",1988,"Connecticut",42.75
"420",1988,"Delaware",60
"421",1988,"District Of Columbia",44
"422",1988,"Florida",36.9411764705882
"423",1988,"Georgia",35.3636363636364
"424",1988,"Hawaii",20.75
"425",1988,"Idaho",32.5555555555556
"426",1988,"Illinois",47.4347826086956
"427",1988,"Indiana",55.9523809523809
"428",1988,"Iowa",38.1
"429",1988,"Kansas",30
